ForecastID,Confirmed,Deaths
0,126883,2219
1,5335,37
2,202359,5061
3,61402,801
4,713920,13185
5,57712,1951
6,52905,4468
7,17473,607
8,625863,11324
9,273132,5702
10,8225,67
11,32471,366
12,238601,8258
13,95137,3308
14,65733,1131
15,43074,453
16,49129,941
17,148605,5023
18,4563,133
19,108758,3768
20,121161,9067
21,113122,6766
22,76551,1898
23,83903,2490
24,86850,1557
25,7557,106
26,34491,400
27,69756,1317
28,7296,432
29,192245,16034
30,25444,785
31,435276,32966
32,167552,2744
33,12083,151
34,123652,4155
35,59291,806
36,26966,468
37,139425,7668
38,22062,1049
39,121096,2737
40,13696,166
41,156175,1787
42,638166,12840
43,52205,411
44,1633,58
45,121285,2593
46,75129,1942
47,10395,220
48,75887,1123
49,3893,38
50,127799,2241
51,5400,37
52,202704,5103
53,61938,813
54,717609,13352
55,58044,1955
56,53031,4469
57,17487,607
58,629179,11449
59,275102,5755
60,8438,70
61,32741,375
62,240690,8291
63,96018,3324
64,66900,1143
65,43930,458
66,49891,951
67,149201,5065
68,4591,133
69,109147,3776
70,121470,9084
71,113732,6778
72,77255,1909
73,84606,2521
74,88696,1570
75,7689,109
76,34757,403
77,70041,1337
78,7311,433
79,192527,16036
80,25578,789
81,435879,32978
82,168937,2774
83,12361,154
84,124609,4182
85,59971,826
86,27194,474
87,140052,7695
88,22140,1052
89,120913,2772
90,13953,168
91,157568,1819
92,642917,13013
93,52535,415
94,1642,58
95,122208,2609
96,75585,1947
97,10615,224
98,76935,1134
99,3929,38
100,128711,2264
101,5489,37
102,203144,5137
103,62475,826
104,721114,13487
105,58440,1959
106,53129,4471
107,17544,608
108,632529,11529
109,277088,5824
110,8651,72
111,33073,382
112,242775,8313
113,97062,3337
114,68683,1158
115,44478,463
116,50609,961
117,149787,5099
118,4623,134
119,109643,3784
120,121792,9103
121,114346,6790
122,78277,1920
123,85205,2544
124,90582,1583
125,7832,111
126,35023,407
127,70501,1358
128,7327,435
129,192804,16074
130,25726,793
131,436561,32981
132,170323,2802
133,12648,156
134,125566,4204
135,60750,840
136,27421,479
137,140676,7715
138,22236,1054
139,121237,2815
140,14262,171
141,158960,1856
142,647497,13190
143,52865,418
144,1651,58
145,123278,2623
146,76038,1956
147,10758,227
148,77756,1141
149,3970,39
150,129619,2286
151,5614,38
152,203537,5162
153,63013,839
154,724440,13635
155,58737,1964
156,53269,4472
157,17663,610
158,636428,11630
159,279271,5911
160,8863,75
161,33226,391
162,245056,8339
163,98105,3351
164,70058,1175
165,45340,466
166,51310,969
167,150361,5142
168,4657,134
169,110201,3793
170,122115,9120
171,114917,6803
172,79196,1930
173,85834,2569
174,92356,1596
175,7964,113
176,35290,411
177,70919,1373
178,7341,436
179,193088,16078
180,25851,798
181,437233,32990
182,171708,2828
183,12943,158
184,126523,4235
185,61720,848
186,27649,485
187,141297,7738
188,22329,1056
189,121972,2839
190,14552,173
191,160350,1889
192,651818,13349
193,53194,422
194,1661,58
195,124341,2639
196,76490,1965
197,11003,232
198,78604,1141
199,4013,39
200,130525,2309
201,5710,39
202,204008,5195
203,63554,852
204,727600,13743
205,59162,1968
206,53323,4472
207,17698,610
208,639671,11736
209,281415,6010
210,9074,77
211,33384,393
212,247168,8354
213,99154,3364
214,71183,1173
215,46028,468
216,52081,975
217,150791,5163
218,4691,134
219,110776,3802
220,122432,9136
221,115491,6815
222,80204,1941
223,86387,2590
224,94078,1609
225,8096,116
226,35557,413
227,71354,1386
228,7355,437
229,193358,16084
230,25977,802
231,437891,32996
232,173094,2857
233,13245,160
234,127480,4271
235,62758,859
236,27877,491
237,141914,7752
238,22345,1058
239,122874,2882
240,14865,174
241,161739,1916
242,655964,13438
243,53522,422
244,1671,58
245,125553,2653
246,76940,1973
247,11179,239
248,79503,1149
249,4040,40
250,131428,2332
251,5759,40
252,204302,5195
253,64095,865
