ForecastID,Confirmed,Deaths
0,124163,2218
1,5397,35
2,202388,5080
3,61059,801
4,713912,13530
5,57650,1953
6,53049,4473
7,17456,607
8,625834,11386
9,273964,5760
10,8892,67
11,32399,372
12,239165,8287
13,95074,3340
14,66396,1132
15,43256,464
16,49313,958
17,148829,5065
18,4576,133
19,108710,3775
20,128876,9087
21,112603,6766
22,75749,1898
23,84106,2493
24,86898,1557
25,7513,109
26,34335,401
27,69683,1343
28,7257,434
29,192251,16153
30,25458,787
31,435307,33233
32,168897,2753
33,12078,151
34,123662,4206
35,58910,826
36,26962,468
37,139388,7727
38,22049,1049
39,119964,2768
40,13889,174
41,156019,1808
42,638512,12940
43,52215,425
44,1628,58
45,121086,2597
46,75154,1991
47,10296,212
48,76512,1148
49,3923,38
50,125063,2240
51,5475,36
52,202769,5107
53,61542,813
54,717594,13686
55,57910,1957
56,53229,4475
57,17511,608
58,628102,11485
59,276126,5833
60,9177,69
61,32669,379
62,241234,8310
63,96023,3355
64,67708,1143
65,43926,469
66,49998,969
67,149460,5101
68,4609,133
69,109199,3785
70,129219,9105
71,113043,6778
72,76425,1909
73,84786,2518
74,88182,1569
75,7633,112
76,34581,403
77,70094,1358
78,7268,434
79,192534,16172
80,25562,791
81,435867,33265
82,170495,2779
83,12356,153
84,124627,4233
85,59577,837
86,27187,474
87,140010,7747
88,22150,1052
89,120952,2797
90,14294,176
91,157381,1836
92,642827,13063
93,52547,430
94,1636,58
95,121987,2612
96,75618,2006
97,10408,216
98,77188,1155
99,3964,38
100,125960,2263
101,5554,36
102,203134,5134
103,62024,826
104,721089,13841
105,58168,1961
106,53420,4477
107,17565,609
108,630278,11580
109,278282,5907
110,9467,72
111,32939,385
112,243315,8333
113,96975,3370
114,69076,1154
115,44608,473
116,50688,980
117,150087,5138
118,4642,134
119,109685,3795
120,129563,9123
121,113461,6790
122,77103,1920
123,85459,2542
124,89478,1581
125,7755,114
126,34827,406
127,70494,1373
128,7277,435
129,192807,16191
130,25665,796
131,436412,33298
132,172101,2806
133,12641,156
134,125592,4259
135,60245,848
136,27413,479
137,140627,7766
138,22252,1054
139,121963,2827
140,14725,178
141,158741,1865
142,647033,13183
143,52878,434
144,1644,58
145,122887,2627
146,76080,2021
147,10521,219
148,77865,1163
149,4006,39
150,126853,2285
151,5633,37
152,203484,5160
153,62503,839
154,724403,13997
155,58425,1965
156,53621,4479
157,17618,609
158,632365,11673
159,280431,5981
160,9763,74
161,33208,392
162,245405,8356
163,97930,3386
164,70502,1166
165,45302,478
166,51385,991
167,150706,5175
168,4677,134
169,110166,3804
170,129907,9141
171,113857,6803
172,77783,1930
173,86126,2566
174,90787,1594
175,7877,116
176,35073,409
177,70883,1387
178,7286,436
179,193072,16210
180,25765,801
181,436941,33330
182,173718,2832
183,12933,158
184,126559,4286
185,60916,860
186,27638,485
187,141242,7787
188,22354,1056
189,123000,2856
190,15182,179
191,160099,1893
192,651134,13300
193,53208,438
194,1652,58
195,123789,2642
196,76542,2036
197,10634,223
198,78543,1171
199,4048,39
200,127743,2308
201,5713,37
202,203819,5185
203,62982,852
204,727548,14154
205,58681,1970
206,53834,4480
207,17671,610
208,634370,11763
209,282575,6056
210,10065,77
211,33477,399
212,247507,8380
213,98888,3401
214,71986,1178
215,46008,482
216,52088,1002
217,151321,5212
218,4712,134
219,110643,3814
220,130251,9159
221,114234,6815
222,78465,1941
223,86786,2589
224,92109,1607
225,8001,118
226,35319,411
227,71261,1402
228,7294,436
229,193328,16230
230,25865,805
231,437454,33363
232,175342,2859
233,13233,160
234,127526,4312
235,61589,871
236,27863,490
237,141852,7807
238,22457,1058
239,124062,2886
240,15665,181
241,161456,1922
242,655130,13414
243,53538,443
244,1660,58
245,124691,2657
246,77002,2051
247,10748,227
248,79223,1179
249,4090,40
250,128631,2331
251,5794,38
252,204139,5209
253,63460,865
254,730534,14310
255,58935,1974
256,54059,4482
257,17722,611
258,636298,11850
259,284717,6131
260,10373,79
261,33747,406
262,249620,8403
263,99851,3417
264,73530,1190
265,46726,487
266,52797,1013
267,151932,5249
268,4749,135
269,111117,3824
270,130594,9177
271,114592,6828
272,79149,1952
273,87438,2613
274,93444,1620
275,8126,120
276,35564,414
277,71630,1416
278,7301,437
279,193576,16249
280,25962,810
281,437951,33396
282,176972,2886
283,13540,163
284,128494,4339
285,62265,883
286,28088,496
287,142460,7827
288,22560,1060
289,125150,2915
290,16174,184
291,162814,1951
292,659022,13526
293,53867,447
294,1668,58
295,125593,2672
296,77461,2066
297,10862,231
298,79905,1188
299,4132,40
300,129517,2354
301,5875,38
302,204446,5233
303,63935,878
304,733373,14467
305,59189,1978
306,54296,4484
307,17772,612
308,638149,11934
309,286857,6206
310,10687,82
311,34017,413
312,251744,8428
313,100817,3433
314,75137,1203
315,47457,491
316,53513,1025
317,152534,5286
318,4786,135
319,111588,3834
320,130937,9195
321,114933,6840
322,79836,1964
323,88084,2636
324,94793,1633
325,8252,123
326,35810,417
327,71989,1430
328,7309,438
329,193816,16269
330,26058,815
331,438434,33430
332,178611,2913
333,13855,165
334,129465,4367
335,62943,895
336,28314,502
337,143065,7848
338,22664,1062
339,126263,2945
340,16707,186
341,164171,1981
342,662813,13634
343,54196,451
344,1677,58
345,126498,2687
346,77920,2081
347,10977,235
348,80589,1196
349,4175,41
350,130401,2377
351,5957,39
352,204741,5255
353,64409,891
354,736072,14623
355,59442,1983
356,54548,4486
357,17822,613
358,639924,12016
359,288991,6282
360,11008,85
361,34287,420
362,253877,8452
363,101786,3449
364,76804,1216
365,48201,496
366,54234,1037
367,153133,5323
368,4825,136
369,112054,3844
370,131281,9214
371,115256,6853
372,80525,1975
373,88722,2659
374,96155,1647
375,8380,125
376,36055,420
