ForecastID,Confirmed,Deaths
0,124071,2222
1,5421,35
2,202367,5080
3,61402,801
4,713920,13532
5,57776,1953
6,52845,4473
7,17457,607
8,625859,11390
9,273150,5751
10,8889,67
11,32436,372
12,238943,8296
13,95114,3340
14,66412,1132
15,43253,465
16,49312,958
17,148586,5049
18,4576,133
19,108748,3774
20,128874,9086
21,112877,6765
22,75749,1898
23,84104,2489
24,86908,1556
25,7513,109
26,34491,401
27,69682,1343
28,7264,434
29,192255,16154
30,25457,787
31,434402,32973
32,167501,2798
33,12083,151
34,123616,4207
35,58909,827
36,26942,468
37,139385,7727
38,21897,1049
39,117804,2764
40,13896,174
41,156175,1808
42,638293,12939
43,52205,425
44,1630,58
45,121054,2597
46,75129,1991
47,10296,212
48,76574,1148
49,3921,38
50,124967,2244
51,5502,36
52,202745,5107
53,61938,813
54,717609,13689
55,58069,1957
56,52964,4474
57,17512,608
58,628151,11489
59,275173,5822
60,9172,69
61,32716,379
62,240949,8319
63,96075,3355
64,67743,1144
65,43919,469
66,49997,969
67,149153,5084
68,4609,133
69,109245,3783
70,129218,9104
71,113426,6777
72,76426,1909
73,84781,2513
74,88196,1569
75,7633,112
76,34757,404
77,70104,1358
78,7275,434
79,192538,16173
80,25562,791
81,434793,32982
82,168877,2829
83,12361,154
84,124574,4233
85,59576,839
86,27161,474
87,140004,7747
88,21965,1051
89,118374,2791
90,14308,176
91,157568,1836
92,642484,13061
93,52535,430
94,1638,58
95,121948,2612
96,75585,2006
97,10408,216
98,77265,1156
99,3963,38
100,125858,2267
101,5584,36
102,203107,5134
103,62475,826
104,721114,13847
105,58363,1961
106,53083,4476
107,17567,609
108,630350,11585
109,277179,5893
110,9460,72
111,32996,386
112,242961,8343
113,97041,3370
114,69135,1155
115,44596,473
116,50687,980
117,149709,5118
118,4642,134
119,109738,3793
120,129562,9121
121,113961,6789
122,77104,1920
123,85451,2536
124,89498,1581
125,7754,114
126,35023,406
127,70516,1372
128,7284,435
129,192811,16192
130,25664,796
131,435165,32992
132,170252,2860
133,12648,156
134,125533,4260
135,60244,850
136,27380,479
137,140620,7767
138,22032,1053
139,118933,2818
140,14748,178
141,158960,1864
142,646552,13180
143,52865,434
144,1647,58
145,122841,2627
146,76038,2021
147,10521,219
148,77958,1164
149,4004,39
150,126746,2290
151,5667,37
152,203454,5160
153,63013,839
154,724440,14006
155,58658,1965
156,53204,4477
157,17620,610
158,632459,11679
159,279169,5964
160,9753,74
161,33277,392
162,244979,8367
163,98011,3385
164,70589,1167
165,45284,478
166,51384,991
167,150257,5153
168,4677,134
169,110227,3803
170,129906,9139
171,114483,6802
172,77784,1930
173,86113,2560
174,90812,1594
175,7877,116
176,35290,409
177,70918,1386
178,7293,436
179,193076,16211
180,25765,801
181,435518,33002
182,171627,2892
183,12943,158
184,126493,4287
185,60914,861
186,27597,485
187,141232,7787
188,22097,1055
189,119478,2845
190,15217,180
191,160350,1893
192,650500,13295
193,53194,438
194,1655,58
195,123734,2641
196,76490,2036
197,10634,223
198,78652,1172
199,4046,39
200,127632,2313
201,5751,37
202,203787,5185
203,63554,852
204,727600,14165
205,58953,1970
206,53325,4479
207,17672,611
208,634485,11769
209,281146,6036
210,10053,77
211,33557,399
212,247004,8392
213,98986,3401
214,72104,1179
215,45985,483
216,52087,1002
217,150796,5187
218,4712,134
219,110714,3813
220,130250,9157
221,114992,6814
222,78466,1941
223,86768,2583
224,92140,1606
225,8000,118
226,35557,412
227,71311,1401
228,7301,437
229,193332,16231
230,25864,805
231,435852,33011
232,173000,2923
233,13245,160
234,127454,4314
235,61587,873
236,27814,491
237,141840,7808
238,22160,1057
239,120012,2871
240,15715,182
241,161739,1922
242,654327,13408
243,53522,443
244,1664,58
245,124627,2656
246,76940,2051
247,10748,227
248,79349,1180
249,4088,40
250,128515,2336
251,5835,38
252,204105,5209
253,64095,865
254,730604,14325
255,59249,1974
256,53446,4480
257,17723,612
258,636433,11857
259,283111,6107
260,10357,79
261,33839,406
262,249036,8416
263,99967,3416
264,73678,1192
265,46697,487
266,52795,1013
267,151325,5221
268,4749,135
269,111198,3822
270,130594,9175
271,115488,6827
272,79150,1952
273,87414,2606
274,93484,1619
275,8125,120
276,35825,414
277,71694,1414
278,7309,437
279,193580,16250
280,25961,810
281,436170,33021
282,174374,2955
283,13555,163
284,128417,4341
285,62262,885
286,28030,496
287,142445,7828
288,22222,1059
289,120535,2896
290,16242,184
291,163129,1951
292,658038,13517
293,53850,447
294,1673,58
295,125519,2671
296,77388,2066
297,10862,231
298,80047,1188
299,4131,40
300,129396,2359
301,5921,38
302,204410,5232
303,64636,879
304,733463,14485
305,59547,1978
306,53569,4482
307,17773,612
308,638306,11943
309,285065,6180
310,10668,82
311,34121,413
312,251075,8441
313,100953,3432
314,75312,1205
315,47421,492
316,53511,1025
317,151848,5255
318,4786,135
319,111680,3832
320,130938,9193
321,115972,6840
322,79837,1964
323,88053,2629
324,94840,1633
325,8251,123
326,36093,417
327,72069,1428
328,7316,438
329,193819,16270
330,26057,815
331,436470,33030
332,175749,2987
333,13873,165
334,129382,4368
335,62940,896
336,28246,502
337,143047,7849
338,22283,1060
339,121046,2922
340,16797,187
341,164514,1980
342,661639,13623
343,54177,451
344,1682,58
345,126409,2686
346,77836,2081
347,10977,235
348,80748,1197
349,4173,41
350,130275,2382
351,6008,39
352,204701,5255
353,65181,892
354,736186,14645
355,59845,1983
356,53692,4484
357,17822,613
358,640104,12025
359,287008,6252
360,10986,85
361,34404,420
362,253119,8467
363,101942,3448
364,77011,1218
365,48157,497
366,54232,1037
367,152363,5289
368,4825,136
369,112158,3842
370,131283,9212
371,116446,6853
372,80526,1975
373,88683,2652
374,96210,1646
375,8379,125
376,36362,420
377,72435,1442
378,7323,439
379,194051,16290
380,26151,819
381,436756,33040
382,177123,3019
383,14200,168
384,130349,4395
385,63620,908
386,28461,508
387,143646,7869
388,22343,1062
389,121546,2946
390,17383,189
391,165900,2009
392,665134,13726
393,54504,456
394,1691,58
395,127302,2702
396,78282,2096
397,11092,239
398,81450,1205
399,4216,41
400,131150,2406
401,6095,39
402,204981,5277
403,65726,905
404,738781,14806
405,60144,1987
406,53815,4485
407,17870,614
408,641827,12106
409,288939,6324
410,11310,88
411,34688,427
412,255167,8492
413,102936,3464
414,78777,1232
415,48906,502
416,54959,1049
