ForecastID,Confirmed,Deaths
0,126766,2187
1,5323,38
2,202344,5032
3,61231,810
4,718506,13059
5,57712,1945
6,52943,4465
7,17473,607
8,625863,11244
9,272156,5702
10,8638,70
11,32471,367
12,238345,8239
13,95131,3310
14,65733,1131
15,43074,453
16,48869,939
17,148700,4952
18,4546,132
19,108764,3761
20,128967,9065
21,113887,6774
22,76551,1869
23,83653,2485
24,86850,1554
25,7608,107
26,34474,397
27,69813,1307
28,7281,432
29,192203,15945
30,25438,781
31,435276,32957
32,167824,2718
33,12080,144
34,123536,4155
35,59291,806
36,26862,462
37,139370,7668
38,22069,1051
39,121096,2739
40,13696,167
41,156159,1776
42,637689,12809
43,52255,411
44,1628,58
45,121683,2584
46,75051,1927
47,10395,220
48,75798,1122
49,3873,37
50,127166,2211
51,5386,38
52,202621,5097
53,61632,826
54,724053,13229
55,58044,1948
56,53071,4466
57,17487,606
58,629179,11367
59,273907,5762
60,8929,73
61,32741,377
62,240496,8256
63,95864,3328
64,66900,1143
65,43930,458
66,49720,949
67,149432,4995
68,4567,132
69,109102,3768
70,129381,9089
71,114688,6784
72,77255,1880
73,84477,2524
74,88696,1563
75,7753,108
76,34725,399
77,69579,1329
78,7287,432
79,192481,15945
80,25588,785
81,435879,32957
82,168530,2748
83,12333,144
84,124256,4182
85,59971,826
86,26954,468
87,139958,7695
88,22137,1055
89,120913,2774
90,13953,168
91,157344,1810
92,644562,13004
93,52524,415
94,1633,58
95,122660,2601
96,75192,1931
97,10615,224
98,76896,1135
99,3904,38
100,128470,2229
101,5476,39
102,203223,5142
103,62267,836
104,729060,13356
105,58440,1949
106,53138,4467
107,17544,605
108,632529,11412
109,275694,5839
110,9256,78
111,33073,384
112,242636,8266
113,97025,3342
114,68683,1158
115,44478,463
116,50461,960
117,150163,5017
118,4598,132
119,109600,3774
120,129861,9115
121,115547,6808
122,78277,1888
123,84981,2545
124,90582,1576
125,7920,112
126,35027,406
127,70165,1353
128,7299,435
129,192777,15945
130,25760,788
131,436561,32957
132,169490,2775
133,12639,144
134,124876,4204
135,60750,840
136,27160,472
137,140646,7715
138,22232,1058
139,121237,2818
140,14262,171
141,158416,1853
142,651084,13206
143,52942,418
144,1642,58
145,123855,2615
146,75650,1944
147,10758,227
148,77736,1143
149,3944,39
150,129429,2242
